편의점명,주소,위도,경도
GS25 화성남양점,경기 화성시 남양읍 남양리 556,37.2089147753225,126.814290113651
GS25 남양아이리스점,경기 화성시 남양읍 남양리 1268,37.209566610975,126.819193271725
GS25 남양시장로점,경기 화성시 남양읍 남양리 1165-8,37.208870555568,126.816443031379
GS25 남양시청로점,경기 화성시 남양읍 남양리 2294-1,37.2049830559779,126.82096928458
CU 남양드림점,경기 화성시 남양읍 남양리 1237,37.2097503408893,126.817844467283
CU 화성남양타운점,경기 화성시 남양읍 남양리 2262-1,37.2057664661314,126.822190576329
CU 화성최고점,경기 화성시 남양읍 남양리 633-2,37.2111383159111,126.814879605611
GS25 화성남양점,경기 화성시 남양읍 남양리 556,37.2089147753225,126.814290113651
GS25 남양아이리스점,경기 화성시 남양읍 남양리 1268,37.209566610975,126.819193271725
GS25 남양시장로점,경기 화성시 남양읍 남양리 1165-8,37.208870555568,126.816443031379
GS25 남양시청로점,경기 화성시 남양읍 남양리 2294-1,37.2049830559779,126.82096928458
CU 남양드림점,경기 화성시 남양읍 남양리 1237,37.2097503408893,126.817844467283
CU 화성남양타운점,경기 화성시 남양읍 남양리 2262-1,37.2057664661314,126.822190576329
CU 화성최고점,경기 화성시 남양읍 남양리 633-2,37.2111383159111,126.814879605611
GS25 화성남양점,경기 화성시 남양읍 남양리 556,37.2089147753225,126.814290113651
GS25 남양아이리스점,경기 화성시 남양읍 남양리 1268,37.209566610975,126.819193271725
GS25 남양시장로점,경기 화성시 남양읍 남양리 1165-8,37.208870555568,126.816443031379
GS25 남양시청로점,경기 화성시 남양읍 남양리 2294-1,37.2049830559779,126.82096928458
CU 남양드림점,경기 화성시 남양읍 남양리 1237,37.2097503408893,126.817844467283
CU 화성남양타운점,경기 화성시 남양읍 남양리 2262-1,37.2057664661314,126.822190576329
CU 화성최고점,경기 화성시 남양읍 남양리 633-2,37.2111383159111,126.814879605611
